number_of_components 835
Node_name	sat_assign.	component_no.
KRR1	0	1
KRT14	1	365
KRT15	1	366
KRT31	0	234
KRT35	1	1
KRT4	1	367
KRTAP4-12	1	368
LARP1	1	15
LDB1	0	218
LDOC1	1	1
LETM1	1	369
LIMA1	1	47
LIN7C	1	370
LLGL1	1	371
LLGL2	1	372
LONP1	1	373
LPGAT1	1	374
LSM10	1	375
LSM2	1	376
LSM5	1	377
LSM7	1	378
LTA4H	1	379
M6PR	1	380
MAGEA1	1	381
MAGEA12	1	382
MAGEH1	1	383
MAOA	1	384
MAP1B	1	385
MAP1LC3B	1	386
MAP3K1	1	1
MAP3K8	1	387
MAP4	1	388
MAPK1	1	389
MAPK13	1	390
MAPK14	1	391
MAPK3	1	392
MAPK6	1	393
MAPK8	0	76
MAPK8IP2	1	394
MARK1	1	395
MARK2	1	15
MARK3	1	396
MARK4	1	397
MAVS	1	398
MBOAT7	1	399
MCM10	1	400
MCM3	1	401
MCM4	1	402
MCM5	1	403
MCM6	1	404
MCRS1	0	163
MDM2	1	405
MED1	1	406
MED10	1	407
MED13L	1	408
MED15	1	409
MED16	1	410
MED17	1	411
MED18	1	412
MED19	1	413
MED20	1	414
MED23	1	415
MED25	1	416
MED26	0	407
MED28	1	417
MED4	1	418
MED8	1	419
MED9	1	420
MEF2C	1	391
MEPCE	1	421
MFAP1	1	422
MGMT	1	423
MGRN1	1	424
MIB1	0	23
MICALL1	1	425
MLF1IP	0	230
MLH1	1	426
MLL	1	427
MLLT3	1	428
MLLT4	1	429
MNAT1	1	430
MORF4L1	1	431
MORF4L2	1	432
MPP6	1	433
MPRIP	1	434
MRPL20	1	435
MRPL45	1	436
MRPS27	1	358
MRTO4	1	437
MSH2	1	438
MSX1	0	192
MTMR8	1	439
MYC	1	440
MYH10	1	441
MYOZ1	1	442
NACAD	1	4
NADK	0	291
NAP1L4	1	238
NBN	1	443
NCKAP1	1	444
NCOA2	1	445
NCOA6	1	446
NCOR2	1	4
NDC80	1	447
NDEL1	1	15
NDNL2	1	448
NDRG1	1	449
NDUFV2	1	164
NEDD4L	1	450
NEDD8	1	15
NEO1	1	451
NET1	0	79
NFKB1	1	452
