number_of_components 612
Node_name	sat_assign.	component_no.
SMNDC1	0	106
SMTN	0	463
SNAPIN	0	8
SNCA	0	8
SND1	1	8
SNRNP40	1	521
SNRNP70	1	8
SNRPB	0	183
SNRPD1	0	316
SNRPD3	0	54
SNRPE	1	8
SNRPF	1	317
SNUPN	0	8
SNW1	0	8
SNX1	1	522
SNX6	1	523
SOX2	0	250
SP100	0	463
SPAG1	0	8
SPR	1	8
SPRY2	0	166
SPTA1	1	211
SPTBN1	1	207
SPTBN2	1	524
SQSTM1	1	525
SRBD1	1	526
SRC	1	57
SREBF1	0	335
SREBF2	1	527
SRI	0	367
SRP14	0	109
SRPK1	1	17
SRPRB	0	8
SRRM1	0	8
SRRM2	1	109
SSRP1	1	29
SSSCA1	1	528
SSU72	1	529
STAG1	1	530
STAG2	0	517
STAT1	1	405
STAT5A	1	8
STAT6	1	531
STBD1	0	232
STK16	1	209
STK24	1	532
STK3	1	319
STK32C	0	147
STK38	1	533
STRN	1	534
STRN3	1	89
STRN4	0	143
STT3A	1	535
STX12	0	8
STX18	0	502
STX4	1	536
STX8	1	369
STYXL1	0	494
SUMO1	0	463
SUMO2	0	17
SUMO3	1	537
SUPT4H1	1	394
SUV420H2	0	8
SUZ12	1	210
SYDE1	0	8
SYMPK	1	538
SYNE2	1	8
SYNJ2BP	1	13
SYVN1	1	539
TAF1	1	540
TAF10	1	541
TAF12	1	541
TAF13	1	542
TAF1C	0	29
TAF4	0	542
TAF5L	0	29
TAF6L	0	8
TANK	1	543
TARBP2	1	544
TARDBP	1	370
TBC1D17	1	90
TBP	0	422
TBX1	1	545
TCEA2	1	546
TCEAL1	1	547
TCERG1	1	548
TCF25	0	8
TCP1	1	428
TELO2	0	499
TERF2	1	333
TERF2IP	1	549
TFAP2C	0	17
TFDP1	1	550
TFG	1	20
TH1L	1	121
THOC3	0	345
THOC4	0	496
THRA	1	500
THRAP3	1	551
TIFA	1	53
TIPRL	1	552
TK1	0	345
TLK1	1	8
TLN1	1	553
TM4SF1	0	8
TMEM102	1	554
TMEM173	0	535
TMEM214	1	8
TMEM33	0	8
TMF1	1	218
TNFAIP8	1	555
TNFRSF8	0	212
TNIK	1	26
TNNT1	1	230
TNPO1	1	556
TOLLIP	0	356
TOM1L1	0	353
TOP1	0	109
TOP2B	0	17
TOP3B	1	110
TOPORS	1	557
TP53	1	7
TP53BP2	0	410
TP53I3	0	8
TPR	1	244
TRA2A	0	463
TRADD	0	212
TRAF2	1	212
TRAF3IP3	1	558
TRAF4	0	226
TRAF6	1	383
TRAF7	1	559
TRAP1	1	560
TRIM21	1	561
TRIM24	1	60
TRIM25	1	559
TRIM26	0	63
TRIM37	1	429
TRIM43	1	125
TRIM63	0	17
TRIM65	0	8
TRIP10	0	166
TRIP13	1	562
TRIP4	1	331
TRMT1	1	563
TRRAP	1	17
TSC1	0	158
TSC22D4	1	564
TSEN2	0	116
